,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,roch_rained_today,roch_rains_tomorrow
30,14.735,7.925,74.59708333333333,235.8333333333333,10.875,30.06499999999999,1019.3458333333336,8.791666666666666,0,0
31,21.6875,12.357499999999995,67.27541666666666,258.75,10.416666666666666,30.20916666666667,1023.9041666666664,9.125,0,1
32,22.0925,15.7025,76.44291666666669,175.0,4.958333333333333,30.14375,1021.7,8.208333333333334,1,1
33,26.3825,22.1975,84.5616666666667,238.75,5.583333333333332,30.08916666666667,1019.75,3.427083333333333,1,0
34,23.645,14.225000000000005,67.63583333333334,263.75,5.916666666666668,30.35500000000001,1028.8208333333334,9.875,0,0
35,24.41,17.959999999999994,76.90416666666665,136.25,7.375,30.2125,1023.9708333333336,8.416666666666666,0,0
36,15.312500000000002,9.289999999999996,76.99249999999998,110.41666666666669,11.208333333333336,29.99416666666667,1016.6541666666667,7.65625,0,0
37,15.8825,8.8025,73.88000000000002,273.75,6.416666666666668,30.04541666666665,1018.0916666666666,9.541666666666666,0,0
38,22.055,14.2325,71.90249999999997,290.8333333333333,9.708333333333334,30.08208333333333,1019.6375,8.645833333333334,0,0
39,23.592500000000005,17.232499999999998,76.55291666666669,127.08333333333331,4.958333333333333,29.99,1016.4208333333336,9.583333333333334,0,1
40,26.6825,22.2575,83.30708333333331,160.83333333333334,8.75,29.54875,1001.2958333333336,7.5,1,0
41,22.01,13.865000000000002,71.0175,268.75,10.5,29.79125000000001,1009.6666666666664,9.958333333333334,0,1
42,24.6425,17.292499999999993,73.41749999999998,268.3333333333333,6.958333333333332,29.87791666666667,1012.5791666666664,8.458333333333334,1,0
43,22.0775,16.107499999999998,78.21249999999998,285.4166666666667,8.166666666666666,29.695000000000004,1006.3875000000003,6.8125,0,0
44,27.5375,21.462500000000006,77.7625,268.75,11.5,29.63583333333333,1004.2583333333336,8.833333333333334,0,0
45,28.0025,18.9725,68.86208333333333,263.75,8.291666666666666,29.681249999999995,1005.7666666666664,9.708333333333334,0,0
46,26.93,20.510000000000005,76.76416666666665,251.25,7.5,29.59708333333333,1002.9083333333333,6.520833333333332,0,1
